2013/6/4 16:24 UPDATE
ピーク時供給力(万kW),時間帯,供給力更新日,供給力更新時刻
439,13:00～16:00,6/4,9:00

予想最大電力(万kW),時間帯,予想最大電力更新日,予想最大電力更新時刻
370,14:00～15:00,6/4,9:00

DATE,TIME,当日実績(万kW)
2013/6/4,20:30,
2013/6/4,20:36,
2013/6/4,20:42,
2013/6/4,20:48,
2013/6/4,20:54,
2013/6/4,21:00,
2013/6/4,21:06,
2013/6/4,21:12,
2013/6/4,21:18,
2013/6/4,21:24,
2013/6/4,21:30,
2013/6/4,21:36,
2013/6/4,21:42,
2013/6/4,21:48,
2013/6/4,21:54,
2013/6/4,22:00,
2013/6/4,22:06,
2013/6/4,22:12,
2013/6/4,22:18,
2013/6/4,22:24,
2013/6/4,22:30,
2013/6/4,22:36,
2013/6/4,22:42,
2013/6/4,22:48,
2013/6/4,22:54,
2013/6/4,23:00,
2013/6/4,23:06,
2013/6/4,23:12,
2013/6/4,23:18,
2013/6/4,23:24,
2013/6/4,23:30,
2013/6/4,23:36,
2013/6/4,23:42,
2013/6/4,23:48,
2013/6/4,23:54,
